# Stellar close encounters with the Sun — minimal default sample
#
# Format: name, RA(deg), Dec(deg), distance(kpc), pmRA*(mas/yr), pmDec(mas/yr), RV(km/s), mass(M_sun)
#
# The two stars below are the best-characterized close encounters in the
# Bailer-Jones (2022, ApJL 935 L9) GDR3 sample. Both are confirmed at high
# confidence; values from Gaia DR3 / supporting literature.
#
# For the full catalog (~42 stars with high confidence within 1 pc), run:
#     python3 scripts/fetch-stellar-encounters.py --out data/stellar-encounters.csv
#
# IMPORTANT — TOOL SETTINGS
# =========================
# Stellar encounters happen on KILOYEAR to MEGAYEAR timescales, much shorter
# than the globular cluster passages the tool was designed for. The tool's
# default 0.2 Ma timestep is too coarse to accurately resolve sub-Myr encounters
# like Scholz's Star (~80 ka ago, lasting < 100 ka).
#
# Recommended settings for stellar-encounter analysis:
#     Integration time: 10 Ma
#     Timestep:         0.005 Ma  (5000 years)
#     Match window:     0.5 Ma    (events have wider correlation tolerance)
#
# The tool's current UI restricts the timestep to >= 0.05 Ma. To use this CSV
# properly, update the `min` attribute on the `dt` input in index.html from
# 0.05 to 0.001, and the match-window minimum similarly.
#
# CAVEATS
# =======
# - Bailer-Jones 2022 lists 61 stars within 1 pc, only 42 with high confidence.
#   The fetch script filters to the high-confidence set.
# - For each star you ALSO need its mass to compute tidal impulse. The fetch
#   script estimates mass from Gaia photometry where available; for stars not
#   in the auto-cross-match, manual entry is required.
# - The default 0-251.9 Ma events.csv covers a much longer span than any
#   stellar encounter window. For stellar-encounter analysis, edit events.csv
#   to include only Quaternary/Neogene events (last ~10 Ma), or events.csv
#   matches will all be at large ΔT.
#
# SOURCES
# =======
# - Bailer-Jones 2022, ApJL 935, L9 (arXiv:2207.06258) — primary GDR3 catalog
# - Bobylev & Bajkova 2022, Astronomy Letters — independent GDR3 analysis
# - Mamajek et al. 2015, ApJL 800, L17 — Scholz's Star encounter parameters
# - Gaia DR3 source catalogue — current astrometry and radial velocities

# Stellar close encounters from Bailer-Jones 2022 / Gaia DR3
# Source: Bailer-Jones 2022, ApJL 935, L9 (arXiv:2207.06258)
# Downloaded from: https://bailer-jones.www3.mpia.de/stellar_encounters_gdr3/encounters_combinedtable.csv
# Generated by scripts/fetch-stellar-encounters.py
#
# RECOMMENDED TOOL SETTINGS for stellar-encounter analysis:
#   Integration time:  10 Ma     (encounters lie within +/- 6 Myr)
#   Timestep:          0.005 Ma  (sub-Myr resolution required)
#   Match window:      0.5 Ma
#
# Position from Galactic (l, b) via inverse J2000 rotation.
# Distance from parallax: d_kpc = 1/parallax_mas.
# pmRA*, pmDec from Gaia DR3 main catalog (cross-matched by source_id).
# Mass from absolute G magnitude via piecewise M-L relation (factor-of-2 accuracy).
#
# name, RA(deg), Dec(deg), distance(kpc), pmRA*(mas/yr), pmDec(mas/yr), RV(km/s), mass(M_sun)
Gliese 710 (HIP 89825),274.9618,-1.9386,0.01907,-0.414,-0.108,-14.42,0.700
Gaia DR3 5544743925212648320,123.1124,-35.4955,0.01117,-65.479,-29.204,-373.74,0.100
Gaia DR3 213090546082530816,77.8389,47.7636,0.19716,0.166,0.418,-23.47,0.900
Gaia DR3 5571232118090082816,92.7310,-42.7676,0.09762,0.094,0.461,82.48,0.700
Gaia DR3 5469802896279029504,161.2983,-26.1259,0.03401,1.351,1.969,-2.66,0.700
Gaia DR3 3372104035275483392,97.0483,18.7536,0.08311,0.557,0.438,-47.45,0.250
Gaia DR3 3207963476278403200,78.0314,-6.7707,0.27071,-0.301,-0.752,515.46,0.700
Gaia DR3 3106500096597409792,100.4987,-2.9034,0.32352,0.040,0.479,36.88,0.900
Gaia DR3 4763293626627587840,80.9105,-57.5455,0.14436,-0.244,-0.305,-91.13,0.250
Gaia DR3 929788371508812288,121.3710,46.4144,0.07268,-2.043,3.232,195.68,0.250
Gaia DR3 6913732624445112832,314.3528,-5.2362,0.31172,0.725,-0.106,-104.06,0.700
Gaia DR3 6608946489396474752,340.4625,-27.9964,0.12587,-0.650,-0.314,43.82,0.700
Gaia DR3 3295253979286613376,73.8393,11.7448,0.10659,0.261,-0.622,-61.63,0.500
Gaia DR3 1952802469918554368,326.5929,38.2175,0.00705,161.454,-119.739,-82.91,0.250
Gaia DR3 5261593808165974784,98.6224,-74.8298,0.06514,-0.091,-2.212,71.08,0.500
Gaia DR3 3001468183198140800,94.6303,-10.6322,0.21911,-1.649,-0.197,-885.20,0.500
Gaia DR3 398496965625177216,20.0190,47.6629,0.07257,-2.817,-3.043,-151.36,0.250
Gaia DR3 3007538204640292480,95.0008,-6.9336,0.37397,0.313,0.315,86.49,1.100
Gaia DR3 2184252351930210560,304.4281,51.5219,0.13065,-0.417,0.424,-24.14,0.500
Gaia DR3 3320184202856435840,89.1041,5.3593,0.00811,-444.685,-925.140,-414.02,0.100
Gaia DR3 6483100752169539584,315.7631,-46.8189,0.13604,-1.477,-0.171,34.43,0.500
Gaia DR3 4155835025908320640,276.9302,-9.6953,0.09476,5.892,0.062,-282.96,0.250
Gaia DR3 6726602067616477056,275.8318,-39.5200,0.05649,-1.784,0.193,26.88,0.900
Gaia DR3 2926732831673735168,99.4917,-21.3728,0.11274,-0.737,0.533,66.46,1.100
Gaia DR3 1791617849154434688,318.6371,21.8924,0.08760,-0.386,-1.172,55.82,0.700
Gaia DR3 3101404272522355584,105.4835,-5.1622,0.37064,-0.221,0.062,97.38,1.100
Gaia DR3 3218956015577464064,85.7169,-0.9520,0.18776,0.586,0.234,58.38,0.500
Gaia DR3 2929487348824926336,107.2130,-20.3323,0.37908,0.126,0.431,70.68,1.100
Gaia DR3 3621143693841328896,197.6284,-13.1260,0.13205,0.860,-0.148,85.15,0.500
Gaia DR3 5346007675222666752,170.3254,-55.8217,0.02223,-18.348,-21.173,76.29,0.250
Gaia DR3 899893234465049216,110.2327,38.1520,0.04764,2.607,2.761,-41.11,0.250
Gaia DR3 5553958176239495040,95.4778,-47.4254,0.02480,-24.002,-0.309,78.61,0.250
Gaia DR3 2924378502398307840,96.4281,-24.1431,0.16367,0.748,0.138,85.49,0.700
Gaia DR3 3972130276695660288,168.1623,18.9349,0.01668,-20.813,6.629,31.14,0.500
